事業所番号,求人番号,都道府県,職安管轄コード,産業分類コード,職業分類コード,職業細分類コード,受付番号,事業所名,事業所名フリガナ,郵便番号,所在地,事業内容,従業員数(全体),従業員数(就業場所),従業員数(男性),従業員数(女性),資本金(億円),職種,備考,休日日数,給与(円),賞与(基本給、円),賞与(平均、万円),交代制,鉄道路線,最寄駅,求人Ｍ,求人Ｆ,求人ＭＦ,就業場所,職種分類,応募先郵便番号,応募先,採用担当部署,採用担当者,採用担当TEL,採用担当FAX,前年度事業所紐づけ
2307-188602-7,23070-48959,愛知県,2307,81,94,5,250052,株式会社　古村電気工業,コムラデンキコウギョウ,476-0014,愛知県東海市富貴ノ台1-207,電気工事全般、設計、計装、通信、地中線、機械配線等全般,20,20,19,1,0.1,電気工事作業員／出張なし！／資格取得可！,,110,180000,6.74,0.00,なし,名鉄常滑線,新日鉄前,1,,,東海市,"技能（その他）",476-0014,愛知県東海市富貴ノ台1-207,"代表取締役",古村　剛,052-604-1266,
2301-619843-9,23010-392459,愛知県,2301,609,45,10,250053,株式会社　ギガス,ギガス,465-0095,名古屋市名東区高社2ｰ130,家電量販店、ケーズデンキグループの東海4県下の店舗運営,1446,1446,838,608,21.24,家電製品の接客・販売（総合職）愛知,,115,227700,4.00,0.00,シフト,地下鉄東山線,一社,,,2,名古屋市名東区、名古屋市昭和区、岡崎市,接客・販売,465-0095,名古屋市名東区高社2ｰ130,管理部　係長,遠山　真知子,052-726-9001,052-726-8008
2701ｰ632668ｰ9,27010ｰ229859,大阪府,2701,441,95,2,250054,アート引越センター　株式会社,アートヒッコシセンター,540-6016,大阪市中央区城見1-2-27　クリスタルタワー16F,国内物流事業、住宅関連事業、保育事業,3681,165,132,33,1,引越スタッフ（生産職助手）（愛知県内の事業所）,,110,161000,3.83,0.00,シフト,名鉄名古屋本線,山王,,,2,名古屋市中川区、名古屋市名東区、名古屋市天白区,その他,540-6016,大阪市中央区城見1-2-27　クリスタルタワー16F,人事採用課,青木　朋香,06-6946-0181,06-6946-0182
2701ｰ632668ｰ9,27010-38359,大阪府,2701,441,40,99,250055,アート引越センター　株式会社,アートヒッコシセンター,540-6016,大阪市中央区城見1-2-27　クリスタルタワー16F,国内物流事業、住宅関連事業、保育事業,3681,22,2,20,1,受付職（東海コンタクトセンター）,,110,181000,3.83,0.00,なし,名鉄名古屋本線,山王,,1,,名古屋市中川区,事務,540-6016,大阪市中央区城見1-2-27　クリスタルタワー16F,人事採用課,青木　朋香,06-6946-0181,06-6946-0182
2307-188410-0,23070-526859,愛知県,2307,245,67,99,250056,鬼頭鋼材　株式会社,キトウコウザイ,476-0001,愛知県東海市南柴田町二ノ割170-5,鋼材の加工並びに販売,95,95,80,15,0.9,生産技術職,,120,188000,3.20,0.00,なし,名鉄常滑線,名和,1,,,東海市,"技能（機械、製造、技術）",476-0001,愛知県東海市南柴田町二ノ割170-5,総務部長,小日向,052-604-5211,052-604-8703,240011　鬼頭鋼材　株式会社　生産技術職
2307-188295-1,23070ｰ317359,愛知県,2307,229,34,1,250057,豊田スチールセンター　株式会社,トヨタスチールセンター　,476-8533,愛知県東海市新宝町33-4,トヨタグループで使用する大半の鋼材を取り扱う総合物流企業,586,482,384,98,15,事務職,,121,218000,5.00,0.00,フレックス,名鉄常滑線,聚楽園,,2,,東海市,事務,476-8533,愛知県東海市新宝町33-4,人財開発部　採用・教育グループ,山崎　耕平,052-601-5212,052-601-8374,240063　豊田スチールセンター　株式会社　事務職
2307-188295-1,23070ｰ314959,愛知県,2307,229,67,3,250058,豊田スチールセンター　株式会社,トヨタスチールセンター　,476-8533,愛知県東海市新宝町33-4,トヨタグループで使用する大半の鋼材を取り扱う総合物流企業,586,482,384,98,15,"技能職（自動車用鋼材の運搬・加工作業）",,121,220500,5.00,0.00,2交代,名鉄常滑線,聚楽園,,,2,東海市,"技能（機械、製造、技術）",476-8533,愛知県東海市新宝町33-4,人財開発部　採用・教育グループ,山崎　耕平,052-601-5212,052-601-8374,"240062　豊田スチールセンター　株式会社　技能職(自動車用鋼材の運搬・加工作業）"
2307-200108-9,23070-294859,愛知県,2307,311,73,99,250059,株式会社　キノックス,キノックス,477-0037,愛知県東海市高横須賀町成宝新田173-1,自動車内装部品製造,161,85,45,40,0.4,組立工,,118,185800,5.30,96.00,なし,名鉄常滑線,尾張横須賀,1,,,東海市,"技能（機械、製造、技術）",477-0037,愛知県東海市高横須賀町成宝新田173-1,総務経理室　部長,木下　知子,0562-33-5511,0562-33-5188,240020　株式会社　キノックス　組立・縫製工
2311-189088-8,23110-676359,愛知県,2311,253,71,5,250060,住友重機械工業　株式会社　名古屋製造所,スミトモジュウキカイコウギョウ　ナゴヤセイゾウショ,474-8501,愛知県大府市朝日町6-1,変減速機・モータの製造,4410,931,770,161,309,減速機・モータの機械加工、仕上組立、検査の作業,,126,222340,5.80,199.00,シフト,JR武豊線,大府,,,2,大府市,"技能（機械、製造、技術）",474-8501,愛知県大府市朝日町6-1,人事課,蓮田　葵唯,0562-48-5121,0562-48-2033,240102　住友重機械工業　株式会社　名古屋製造所　減速機・モータの機械加工、仕上組立、検査の作業
2307-619728-9,23070-101759,愛知県,2307,783,53,3,250061,株式会社　affinity,アフィニティ,477-0037,愛知県東海市高横須賀町呉天石1044　クラリティ呉天石101号,美容室,8,8,1,7,0.01,美容師アシスタント,,110,195000,0.00,20.00,シフト,名鉄常滑線,太田川,,,1,東海市,美容,477-0037,愛知県東海市高横須賀町呉天石1044　クラリティ呉天石101号,"代表取締役",西原　健一,0562-85-9355,,240122　株式会社　affinity　美容師アシスタント
2307-205403-9,23070-511159,愛知県,2307,311,34,1,250062,株式会社　ティラド　名古屋製作所,ティラド　ナゴヤセイサクジョ,470-2105,愛知県知多郡東浦町大字藤江字折戸１－７,熱交換器を設計・製造・販売,1904,258,199,59,85.7,事務技術職,,121,203110,4.66,0.00,フレックス,JR武豊線,東浦,,,1,名古屋市南区,事務,470-2105,愛知県知多郡東浦町大字藤江字折戸１－７,人事・総務部（笠寺）,間所　玲音,052-823-6812,052-824-6200,220326　株式会社　ティラド　名古屋製作所　事務技術職
2311-189574-2,23110-352559,愛知県,2311,61,34,1,250063,株式会社　シモヤ,シモヤ,474-0047,愛知県大府市宮内町4-381,店舗の内外装、リニューアル工事、店舗、施設の看板の企画、設計、施工,89,79,39,40,0.3,一般事務,,120,195000,4.65,0.00,なし,JR東海道本線,大府,,,1,大府市,事務,474-0047,愛知県大府市宮内町4-381,総務部,山田美奈子,0562-48-1488,0562-48-1489,240219　株式会社　シモヤ　一般事務
2307-188156-4,23070-97759,愛知県,2307,224,71,11,250064,日東亜鉛　株式会社　名古屋工場,ニットウアエン　ナゴヤコウジョウ,476-0015,愛知県東海市東海町5-3,鋼管の溶融亜鉛メッキ加工、捻子切加工,136,26,24,2,1,製造職,,115,190300,0.00,58.00,なし,名鉄常滑線,新日鉄前,1,,,東海市,"技能（機械、製造、技術）",476-0015,愛知県東海市東海町5-3,管理部総務課,志筑　康太,052-603-2481,052-603-2483
2307-170147-2,23070-38759,愛知県,2307,264,71,5,250065,鍛治島工業　株式会社,カジシマコウギョウ,479-0037,愛知県常滑市字中大流7-1,産業機械搬送装置設計製作、窯業機会及び金型設計製作,45,41,35,6,0.1,技術職,,110,195000,2.25,0.00,なし,名鉄常滑線,常滑,,,1,常滑市,"技能（機械、製造、技術）",479-0037,愛知県常滑市字中大流7-1,総務課　課長,森下　寿雄,0569-34-6166,0569-34-8072,240177　鍛冶島工業　株式会社　技術職
2307-160049-5,23070-374859,愛知県,2307,631,38,2,250066,半田信用金庫,ハンダシンヨウキンコ,475-0887,愛知県半田市御幸町8,信用金庫法に基づく金融業,286,270,164,106,5,金融機関窓口業務及び一般事務,,120,187500,4.40,0.00,なし,JR武豊線,半田,,2,,半田市,事務,475-0887,愛知県半田市御幸町8,人事部　副部長,遠山　渡,0569-26-6853,0569-26-6877,240077　半田信用金庫　金融機関窓口業務及び一般事務
2307-160049-5,23070-375059,愛知県,2307,631,38,2,250067,半田信用金庫,ハンダシンヨウキンコ,475-0887,愛知県半田市御幸町8,信用金庫法に基づく金融業,286,270,164,106,5,金融機関窓口業務及び渉外業務,,120,187500,4.40,0.00,なし,JR武豊線,半田,1,,,半田市,接客・販売,475-0887,愛知県半田市御幸町8,人事部　副部長,遠山　渡,0569-26-6853,0569-26-6877
2307-205461-6,23070-99959,愛知県,2307,329,33,1,250068,エスツーアイ　株式会社,エスツーアイ,470-2102,知多郡東浦町大字緒川字旭２番地１１,"製造業向けソフトウェア・システム開発及びIT製品販売",137,136,93,43,1,事務職,,120,185000,6.00,0.00,なし,JR武豊線,緒川,,,1,東浦町,事務,470-2102,愛知県知多郡東浦町大字緒川字旭２番地１１,管理センター　採用担当,山口　大輔,0562-83-4095,0562-74-5520
2307-205461-6,23070-91059,愛知県,2307,329,9,3,250069,エスツーアイ　株式会社,エスツーアイ,470-2102,知多郡東浦町大字緒川字旭２番地１１,"製造業向けソフトウェア・システム開発及びIT製品販売",137,136,93,43,1,プログラマー（一般職）,,120,185000,6.00,0.00,なし,JR武豊線,緒川,,,1,東浦町,"技能（システム、プログラマ）",470-2102,愛知県知多郡東浦町大字緒川字旭２番地１１,管理センター　採用担当,山口　大輔,0562-83-4095,0562-74-5520,240069　エスツーアイ　株式会社　プログラマー（一般職）
2307-614518-8,23070-32059,愛知県,2307,360,96,99,250070,日鉄環境　株式会社　名古屋支店,ニッテツカンキョウ　ナゴヤシテン,476-0015,愛知県東海市東海町四丁目７０番地の１　公園クラブ３F,公共下水道施設の維持管理,1475,127,122,5,5,公共下水道施設の維持管理,,118,207000,4.94,0.00,2交代,名鉄常滑線,新日鉄前,1,,,東海市、常滑市、西尾市,"技能（検査・管理）",476-0015,東海市東海町四丁目70-1　公園クラブ3F,総務室長　／　水道部技術・企画室長,根来　良和　／　加藤　弘基,052-603-1488,052-603-8444,240128　日鉄環境　株式会社　名古屋支店　公共下水道施設の維持管理
2307-201089-9,23070-570559,愛知県,2307,742,8,7,250071,株式会社　タイセイ,タイセイ,478-0036,愛知県知多市新舞子字沢渡２０－１,測量・コピーサービス・ＯＡ機器販売・製本・事務用品販売・印刷,14,12,9,3,0.1,測量,,108,190000,4.49,0.00,なし,名鉄常滑線,新舞子,1,1,,知多市,"技能（その他）",478-0036,愛知県知多市新舞子字沢渡２０－１,"代表取締役",早川　智太,0562-55-9708,0562-56-1312,240107　株式会社　タイセイ　測量
2307-202176-5,23070-50159,愛知県,2307,341,45,14,250072,株式会社　アスク,アスク,475-0078,愛知県半田市新池町1丁目205番地の7,住宅設備機器販売・施工・修理、リフォーム、ガス工事設計・施工、電化製品販売・修理、LPガス・白灯販売、上下水道工事,18,17,11,6,0.1,販売事務スタッフ,,115,196000,2.00,0.00,なし,名鉄河和線,植大,,,1,半田市,事務,475-0078,愛知県半田市新池町1丁目205番地の7,人事課　採用担当,籾山　依里,0569-29-3030,0569-29-3331,230301　株式会社　アスク　店頭での販売接客も行う営業事務サポートスタッフ
2307-202176-5,23070-51259,愛知県,2307,341,63,99,250073,株式会社　アスク,アスク,475-0078,愛知県半田市新池町1丁目205番地の7,住宅設備機器販売・施工・修理、リフォーム、ガス工事設計・施工、電化製品販売・修理、LPガス・白灯販売、上下水道工事,18,17,11,6,0.1,住宅設備機器の点検・修理・販売を行うルート営業職,,115,211000,2.00,0.00,なし,名鉄河和線,植大,,,1,半田市,接客・販売,475-0078,愛知県半田市新池町1丁目205番地の7,人事課　採用担当,籾山　依里,0569-29-3030,0569-29-3331,240330　株式会社　アスク　住宅設備機器の点検・修理・販売を行うルート営業職
2311-407236-3,23110-393159,愛知県,2311,259,71,12,250074,株式会社　名古屋多田精機,ナゴヤタダセイキ,474-0001,愛知県大府市北崎町清水ヶ根100-1,プラスチック射出成型用金型、ダイカスト鋳造用金型の設計製造及び研究開発,42,42,34,8,0.5,CAD／CAMプログラマー,,110,196000,3.00,0.00,なし,JR東海道本線,共和,,,1,大府市,"技能（システム、プログラマ）",474-0001,愛知県大府市北崎町清水ヶ根100-1,総務,安藤　弘美,0562-46-7631,0562-46-7630,240079　株式会社　名古屋多田精機　CAD／CAMプログラマー
2307-613700-5,23070-341059,愛知県,2307,482,95,2,250075,株式会社　エーシーオー,エーシーオー,479-0836,愛知県常滑市栄町2-58,空港内旅客手荷物取扱、空港貨物取扱、空港手荷物搬送業務、半導体・住宅建材・鉄鋼関連,180,97,88,9,0.3,グランドハンドリング,,100,128000,0.00,70.00,シフト,名鉄空港線,中部国際空港,,,1,常滑市,その他,479-0836,愛知県常滑市栄町2-58　ライズビル1F,主任,吉房　真実,0569-35-8676,0569-35-9192
2303-202697-6,23030-235959,愛知県,2303,591,75,3,250076,株式会社　ビッグ（オートバックス）,ビッグ（オートバックス）,470-1123,愛知県豊明市西川町笹原2-18,オートバックスの事業展開,162,162,135,27,0.3,ピットスタッフ（整備職）,,110,200000,2.50,0.00,シフト,名鉄名古屋本線,前後,,,1,豊明市、豊田市、半田市,"技能（その他）",470-1123,愛知県豊明市西川町笹原2-18,経営戦略部　主任,紀平　裕太,0562-93-3611,0562-93-6449,240096　株式会社　ビッグ（オートバックス）　ピットスタッフ（整備職）
2303-202697-6,23030-234659,愛知県,2303,591,45,12,250077,株式会社　ビッグ（オートバックス）,ビッグ（オートバックス）,470-1123,愛知県豊明市西川町笹原2-18,オートバックスの事業展開,162,162,135,27,0.3,フロアスタッフ（販売職）,,110,200000,2.50,0.00,シフト,名鉄名古屋本線,前後,,,1,豊明市、豊田市、半田市,接客・販売,470-1123,愛知県豊明市西川町笹原2-18,経営戦略部　主任,紀平　裕太,0562-93-3611,0562-93-6449,240095　株式会社　ビッグ（オートバックス）　フロアスタッフ（販売職）
